# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	-2.5193003e-10	2.564775e-10	-0.9999838	730000	-2.5193003e-10	3.1468517e-10	-0.9999838	2.6909644e-08
0	-1.9463187e-10	1.09139364e-10	-0.99998266	724102.56	-1.9463187e-10	1.382432e-10	-0.99998266	4.2139977e-08
0	-2.2555469e-10	1.1823431e-11	-0.99998116	718205.06	-2.2555469e-10	1.1823431e-11	-0.99998116	3.8126437e-08
0	-3.092282e-10	2.1464075e-10	-0.9999795	712307.6	-3.092282e-10	2.582965e-10	-0.9999795	4.3812022e-08
0	-4.1836756e-10	1.8189894e-10	-0.99997765	706410.25	-4.1836756e-10	1.8189894e-10	-0.99997765	4.0045986e-08
0	-5.675247e-10	4.656613e-10	-0.99997544	700512.9	-5.675247e-10	5.2386895e-10	-0.9999753	3.816602e-08
0	-8.240022e-10	6.2937033e-10	-0.99997264	694615.44	-8.240022e-10	6.5847416e-10	-0.9999726	4.0737618e-08
0	-6.4392225e-10	8.54925e-10	-0.9999691	688717.94	-6.4392225e-10	9.131327e-10	-0.9999691	3.7691024e-08
0	-1.035005e-09	1.0622898e-09	-0.9999647	682820.5	-1.035005e-09	1.0477379e-09	-0.9999647	4.1144055e-08
0	-1.6843842e-09	6.1118044e-10	-0.9999589	676923.06	-1.6843842e-09	6.1118044e-10	-0.9999589	4.1784784e-08
0	-2.244633e-09	1.2369128e-09	-0.99995077	671025.56	-2.244633e-09	1.2369128e-09	-0.99995077	4.6526498e-08
0	-3.8180588e-09	2.3283064e-09	-0.9999388	665128.2	-3.8180588e-09	2.4738256e-09	-0.9999388	5.6803543e-08
0	-8.749339e-09	6.4610504e-09	-0.99991953	659230.75	-8.749339e-09	6.4610504e-09	-0.99991953	5.1096716e-08
0	-2.8903742e-08	2.066372e-08	-0.99988425	653333.3	-2.8903742e-08	2.0780135e-08	-0.99988425	6.399612e-08
0	-4.3128603e-07	3.2660319e-07	-0.9998045	647435.94	-4.3128603e-07	3.2648677e-07	-0.99980444	1.1861434e-07
0	-7.63114e-05	5.8010744e-05	-0.99953836	641538.44	-7.63114e-05	5.8010686e-05	-0.99953836	5.817632e-06
0	-0.0022305946	0.0016956837	-0.99844503	635641	-0.0022305946	0.0016956837	-0.99844503	0.00037238843
0	-1.6271042e-07	1.3222416e-07	0.9999788	629743.56	-1.6271042e-07	1.3220233e-07	0.9999787	5.915208e-08
0	1.4915713e-10	-1.8553692e-10	0.99997675	623846.06	1.4915713e-10	-1.4915713e-10	0.99997675	3.8137138e-08
0	7.566996e-10	-8.367351e-10	0.99997425	617948.7	7.566996e-10	-7.7852746e-10	0.99997425	3.7872542e-08
0	9.877112e-10	-6.6211214e-10	0.99997115	612051.3	9.877112e-10	-6.6211214e-10	0.9999712	3.5746435e-08
0	8.58563e-10	-7.530616e-10	0.9999674	606153.94	8.58563e-10	-7.530616e-10	0.9999674	3.9665565e-08
0	1.3387762e-09	-5.675247e-10	0.99996245	600256.44	1.3387762e-09	-5.966285e-10	0.99996245	3.995244e-08
0	1.9317667e-09	-2.066372e-09	0.9999558	594359	1.9317667e-09	-2.066372e-09	0.9999558	3.8338456e-08
0	3.0140654e-09	-2.910383e-09	0.9999463	588461.56	3.0140654e-09	-2.8521754e-09	0.99994624	4.166692e-08
0	4.98585e-09	-4.1618478e-09	0.99993163	582564.06	4.98585e-09	-4.2200554e-09	0.9999317	5.0295704e-08
0	1.15906005e-08	-7.566996e-09	0.99990714	576666.7	1.15906005e-08	-7.566996e-09	0.999907	6.655337e-08
0	7.1233444e-08	-4.5169145e-08	0.9998586	570769.25	7.1233444e-08	-4.4936314e-08	0.9998586	9.689367e-08
0	5.3290405e-06	-3.3766264e-06	0.99973285	564871.8	5.3290405e-06	-3.377092e-06	0.99973273	2.8254743e-07
0	0.0005906186	-0.00037470693	0.9992206	558974.44	0.0005906186	-0.0003747074	0.9992206	5.4852328e-05
0	0.002903239	-0.001841909	0.99827564	553076.94	0.0029032386	-0.00184191	0.9982755	0.0007752771
0	0.48537287	-0.47234082	0.7081568	547179.5	0.48537287	-0.47234082	0.7081568	1.6760585e-05
0	0.5196473	-0.5134828	0.65239084	541282.06	0.5196473	-0.5134828	0.6523908	1.3374545e-05
0	0.54737437	-0.5438853	0.6027565	535384.56	0.54737437	-0.5438853	0.6027565	1.0340315e-05
0	0.56936884	-0.56740934	0.5587156	529487.2	0.56936884	-0.56740934	0.5587156	7.988006e-06
0	0.5870588	-0.5858531	0.5196546	523589.75	0.5870588	-0.5858531	0.5196546	6.922242e-06
0	0.6013333	-0.6006144	0.4849691	517692.28	0.6013334	-0.6006144	0.48496908	6.0884427e-06
0	0.61298776	-0.6125555	0.4540995	511794.94	0.61298776	-0.61255544	0.4540995	4.7476674e-06
0	0.6225864	-0.6223261	0.42654687	505897.47	0.6225864	-0.6223261	0.42654687	4.73493e-06
0	0.63055855	-0.6304031	0.40187553	500000	0.6305586	-0.6304031	0.40187553	3.6045217e-06
