# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	0.005157903	0.80006766	0.40460518	500000	0.0051579066	0.80006766	0.40460518	6.7335322e-06
0	0.005179949	0.76830786	0.50104123	500000	0.005179949	0.76830786	0.50104123	6.986594e-06
0	0.0055937655	0.72821844	0.5953331	500000	0.0055937693	0.72821844	0.5953331	2.8066424e-06
0	0.009639297	0.67847574	0.6871556	500000	0.009639297	0.67847574	0.6871556	2.5835766e-06
0	0.43509188	0.4375682	0.7697454	500000	0.4350919	0.4375682	0.7697454	7.942835e-06
0	0.35300654	0.35480538	0.8528869	500000	0.35300657	0.35480538	0.8528869	5.6436447e-06
0	0.24602014	0.24732736	0.92867106	500000	0.24602012	0.24732737	0.92867106	4.572171e-06
0	0.08427865	0.08477524	0.9910297	500000	0.084278665	0.08477525	0.99102974	3.076986e-06
0	-4.4410386e-05	-4.4686254e-05	0.9999227	500000	-4.4410386e-05	-4.4686254e-05	0.9999227	2.1968538e-06
0	-2.825289e-06	-2.8477516e-06	0.9999491	500000	-2.825289e-06	-2.8476352e-06	0.9999491	9.945267e-07
0	-0.6121006	-0.6123142	0.455636	512105.25	-0.6121006	-0.6123143	0.455636	7.4366667e-06
0	-0.5683311	-0.5684626	0.5615951	512105.25	-0.5683311	-0.5684626	0.561595	6.837407e-06
0	-0.512507	-0.5125893	0.6639925	512105.25	-0.512507	-0.5125893	0.6639925	6.1896303e-06
0	-0.44183284	-0.44190204	0.76204515	512105.25	-0.44183284	-0.441902	0.7620452	7.75722e-06
0	-0.3514251	-0.35149118	0.85410696	512105.25	-0.3514251	-0.35149118	0.85410696	5.173883e-06
0	-0.23150997	-0.23158003	0.9365489	512105.25	-0.23150997	-0.23158003	0.9365489	4.0516315e-06
0	-0.0007319856	-0.000732761	0.99987257	512105.25	-0.0007319856	-0.000732761	0.99987257	2.0098935e-06
0	-1.7819026e-05	-1.7844024e-05	0.9999302	512105.25	-1.7819026e-05	-1.7844024e-05	0.9999302	1.1359092e-06
0	-1.468552e-06	-1.4732359e-06	0.99995255	512105.25	-1.468552e-06	-1.4731777e-06	0.99995255	3.4184177e-07
0	-4.0490704e-08	-4.2520696e-08	0.9999642	512105.25	-4.0490704e-08	-4.246249e-08	0.9999642	3.4038558e-07
0	-0.00022087991	2.6496127e-07	0.5507046	524210.53	-0.00022087991	2.6496127e-07	0.5507046	3.815061e-06
0	-0.0001514554	-4.6158675e-08	0.66655314	524210.53	-0.0001514554	-4.6100467e-08	0.66655314	7.0612787e-06
