# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	mx ()	my ()	mz ()	maxTorque (T)
0	-2.3521716e-07	3.799796e-07	0.4383967	500000	-2.3521716e-07	3.799796e-07	0.4383967	2.1295211e-06
0	-4.8044603e-07	9.685755e-07	0.46842137	505897.47	-4.8044603e-07	9.723008e-07	0.46842134	2.141182e-06
0	-1.1131633e-06	2.5443733e-06	0.50196135	511794.94	-1.1131633e-06	2.529472e-06	0.50196135	3.4192308e-06
0	-2.3596222e-06	5.684793e-06	0.53948665	517692.28	-2.3596222e-06	5.7071447e-06	0.53948665	1.805745e-05
0	-4.444417e-06	1.0959804e-05	0.5814332	523589.75	-4.444417e-06	1.0959804e-05	0.5814332	0.00011691087
0	-7.5329444e-06	1.8492341e-05	0.6280327	529487.2	-7.532828e-06	1.8514693e-05	0.6280327	0.0006241683
0	-2.4333596e-05	-8.5379e-06	0.56649256	535384.56	-2.4341047e-05	-8.5379e-06	0.56649256	3.256485e-06
0	-2.1010637e-05	-7.3387055e-06	0.6135213	541282.06	-2.1018088e-05	-7.3387055e-06	0.6135213	3.1029863e-06
0	-1.7985702e-05	-6.2012114e-06	0.666861	547179.5	-1.7981976e-05	-6.2012114e-06	0.666861	3.0480164e-06
0	-1.5165657e-05	-5.1630195e-06	0.7273158	553076.94	-1.5165657e-05	-5.1630195e-06	0.7273158	3.8126532e-06
0	-1.2319535e-05	-4.150672e-06	0.79569966	558974.44	-1.231581e-05	-4.150672e-06	0.7956997	6.063012e-06
0	-9.236857e-06	-3.0889641e-06	0.87555826	564871.8	-9.236857e-06	-3.0889641e-06	0.87555826	1.6181797e-05
0	-3.7050762e-05	-1.6948412e-05	0.9998585	570769.25	-3.7050762e-05	-1.6948557e-05	0.9998585	2.4512707e-07
0	-5.3921212e-06	-2.4792826e-06	0.99990714	576666.7	-5.3921212e-06	-2.4791661e-06	0.99990714	1.246549e-07
0	-2.3321991e-07	-1.13926944e-07	0.9999317	582564.06	-2.3321991e-07	-1.13926944e-07	0.99993163	5.6623136e-08
0	-1.1477823e-09	-3.6961865e-09	0.9999463	588461.56	-1.1477823e-09	-3.5797711e-09	0.9999463	4.4557027e-08
0	1.9263098e-09	-1.3169483e-09	0.9999558	594359	1.9263098e-09	-1.3169483e-09	0.9999558	4.5665264e-08
0	1.2678356e-09	-9.640644e-10	0.9999624	600256.44	1.2678356e-09	-9.640644e-10	0.9999624	3.6460612e-08
0	9.822543e-10	-7.421477e-10	0.9999674	606153.94	9.822543e-10	-7.566996e-10	0.9999674	4.2838533e-08
0	8.62201e-10	-5.311449e-10	0.9999713	612051.3	8.62201e-10	-5.7480065e-10	0.99997115	3.8270343e-08
0	7.075869e-10	-5.820766e-10	0.99997425	617948.7	7.075869e-10	-5.7480065e-10	0.99997425	3.480969e-08
0	5.11136e-10	-2.2737368e-10	0.99997675	623846.06	5.11136e-10	-1.6916601e-10	0.99997675	3.542233e-08
0	2.8558134e-10	-2.5465852e-11	0.9999787	629743.56	2.8558134e-10	-4.0017767e-11	0.9999787	3.874684e-08
0	3.965397e-10	-3.2014214e-10	0.9999805	635641	3.965397e-10	-3.4924597e-10	0.9999805	3.8109217e-08
0	3.1650416e-10	-1.7644197e-10	0.999982	641538.44	3.1650416e-10	-1.891749e-10	0.999982	3.867868e-08
0	2.5011104e-10	-3.6379788e-11	0.9999833	647435.94	2.5011104e-10	-4.3655746e-11	0.9999833	4.0701682e-08
0	2.0463631e-10	-7.275958e-12	0.99998444	653333.3	2.0463631e-10	-6.548362e-11	0.9999844	4.1856396e-08
0	1.4642865e-10	-2.0463631e-10	0.9999854	659230.75	1.4642865e-10	-1.7553248e-10	0.9999854	3.6997502e-08
0	1.7462298e-10	-2.237357e-10	0.9999863	665128.2	1.7462298e-10	-2.237357e-10	0.9999863	3.7733134e-08
0	1.7917046e-10	1.8189894e-11	0.9999871	671025.56	1.7917046e-10	-4.0017767e-11	0.9999871	3.786908e-08
0	1.891749e-10	-9.640644e-11	0.99998784	676923.06	1.891749e-10	-9.640644e-11	0.99998784	4.3487116e-08
0	1.9372237e-10	-4.956746e-11	0.9999884	682820.5	1.9372237e-10	-2.7739588e-11	0.9999884	3.6672777e-08
0	1.5279511e-10	-1.7735147e-11	0.99998903	688717.94	1.5279511e-10	-1.7735147e-11	0.99998903	4.679966e-08
0	1.4188117e-10	-3.0013325e-11	0.9999896	694615.44	1.4188117e-10	-1.546141e-11	0.9999896	3.493813e-08
0	9.913492e-11	-2.3646862e-11	0.99999	700512.9	9.913492e-11	-4.5474735e-11	0.99999	3.7483403e-08
0	1.1186785e-10	2.0008883e-11	0.9999906	706410.25	1.1186785e-10	-1.8189894e-12	0.9999906	3.639729e-08
0	9.640644e-11	2.2737368e-11	0.9999909	712307.6	9.640644e-11	2.2737368e-11	0.9999909	3.7376253e-08
0	1.10958354e-10	-1.10503606e-10	0.9999913	718205.06	1.10958354e-10	-1.0959411e-10	0.9999913	3.3363758e-08
0	1.2732926e-10	-1.5688784e-11	0.99999166	724102.56	1.2732926e-10	-1.5688784e-11	0.99999166	4.0514607e-08
0	6.4574124e-11	5.684342e-12	0.99999195	730000	6.4574124e-11	3.8653525e-12	0.9999919	3.9594262e-08
0	7.6397555e-11	-2.6375346e-11	0.9999916	724102.56	7.6397555e-11	-4.1836756e-11	0.99999166	3.9784226e-08
0	1.09139364e-10	2.3874236e-11	0.9999913	718205.06	1.09139364e-10	2.046363e-12	0.9999913	2.868124e-08
0	1.373337e-10	2.7057467e-11	0.9999909	712307.6	1.373337e-10	1.2505552e-11	0.99999094	3.1115583e-08
0	1.1550583e-10	-1.5006663e-10	0.9999906	706410.25	1.1550583e-10	-1.5188562e-10	0.9999906	3.6252537e-08
0	1.1368684e-10	-1.4483703e-10	0.99999	700512.9	1.1368684e-10	-1.4119905e-10	0.99999	3.5160035e-08
0	1.4642865e-10	-1.978151e-11	0.9999896	694615.44	1.4642865e-10	-1.6143531e-11	0.99998957	4.336444e-08
0	1.5097612e-10	-1.373337e-10	0.99998903	688717.94	1.5097612e-10	-1.373337e-10	0.99998903	3.705175e-08
