# t (s)	mx ()	my ()	mz ()	Ku1 (J/m3)	B_extx (T)	B_exty (T)	B_extz (T)
0	0.005471552	-0.0006505517	0.40378588	730000	0	0	0.001
0	0.0053910026	-0.00025908664	0.45178747	730000	0	0	0.0011999999
0	0.005309634	-0.00011484939	0.4931259	730000	0	0	0.0014
0	0.005228967	-5.6810313e-05	0.5283736	730000	0	0	0.0016
0	0.0051486227	-3.2328753e-05	0.5587968	730000	0	0	0.0017999999
0	0.005068613	-1.8150473e-05	0.5852443	730000	0	0	0.002
0	0.004988699	-1.0890464e-05	0.60845095	730000	0	0	0.0022
0	0.004906006	-2.3361565e-05	0.6295683	730000	0	0	0.0023999999
0	0.0048258263	-1.51750355e-05	0.64776385	730000	0	0	0.0026
0	0.004748158	-1.0424868e-05	0.6635581	730000	0	0	0.0028
0	0.005464091	-7.7103905e-06	0.40018097	672500	0	0	0.001
0	0.0052675945	-2.8464274e-07	0.44725013	672500	0	0	0.0011999999
0	0.0050619734	1.8521678e-07	0.48803097	672500	0	0	0.0014
0	0.0048580724	1.610606e-07	0.52275586	672500	0	0	0.0016
0	0.0046536108	-1.4685356e-06	0.5528836	672500	0	0	0.0017999999
0	0.004452692	-1.4329999e-07	0.5786497	672500	0	0	0.002
0	0.004252201	2.3825851e-07	0.601627	672500	0	0	0.0022
0	0.0040395902	2.9882358e-08	0.62222034	672500	0	0	0.0023999999
0	0.00384149	4.0883606e-08	0.639662	672500	0	0	0.0026
0	0.0036330759	6.200571e-08	0.65590435	672500	0	0	0.0028
0	-0.13169408	-0.7237032	0.08437782	615000	0	0	0.001
0	-0.13279054	-0.721486	0.10250941	615000	0	0	0.0011999999
0	-0.13528658	-0.7186294	0.1218411	615000	0	0	0.0014
0	-0.13939933	-0.7150879	0.1430735	615000	0	0	0.0016
0	-0.14702374	-0.71053106	0.16817826	615000	0	0	0.0017999999
0	-0.1615142	-0.70461094	0.20137116	615000	0	0	0.002
0	-0.16952044	-0.7006537	0.23379305	615000	0	0	0.0022
0	-0.1632292	-0.6999586	0.2591485	615000	0	0	0.0023999999
0	0.25745034	-0.6444492	0.28682876	615000	0	0	0.0026
0	0.26136577	-0.6420292	0.3014421	615000	0	0	0.0028
0	0.6747582	-0.67536825	0.012110157	557500	0	0	0.001
0	0.6748355	-0.67522293	0.014203783	557500	0	0	0.0011999999
0	0.67486286	-0.67512345	0.016279032	557500	0	0	0.0014
0	0.6748651	-0.67504513	0.018339038	557500	0	0	0.0016
0	0.6748507	-0.6749792	0.02038723	557500	0	0	0.0017999999
0	0.6748266	-0.67491853	0.022424962	557500	0	0	0.002
0	0.67479557	-0.6748605	0.024454754	557500	0	0	0.0022
0	0.6747579	-0.67480445	0.026477713	557500	0	0	0.0023999999
0	0.67471594	-0.67474806	0.028494686	557500	0	0	0.0026
0	0.67466986	-0.6746911	0.03050689	557500	0	0	0.0028
0	0.6753333	-0.6753398	0.004495327	500000	0	0	0.001
0	0.67533094	-0.6753362	0.005394183	500000	0	0	0.0011999999
0	0.67532796	-0.67533207	0.0062931213	500000	0	0	0.0014
0	0.67532444	-0.6753274	0.00719245	500000	0	0	0.0016
0	0.67532045	-0.67532223	0.00809172	500000	0	0	0.0017999999
0	0.67531574	-0.67531645	0.008990871	500000	0	0	0.002
0	0.6753106	-0.6753104	0.009889954	500000	0	0	0.0022
0	0.67530483	-0.6753037	0.0107890535	500000	0	0	0.0023999999
0	0.6752985	-0.6752965	0.011688155	500000	0	0	0.0026
0	0.67529154	-0.6752888	0.012587197	500000	0	0	0.0028
