# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	Ku1 (J/m3)
0	-1.2732926e-11	-3.637979e-12	-0.99999696	0	0	-0.5	730000
0	-9.094947e-12	4.5474735e-11	-0.9999969	0	0	-0.49	730000
0	-2.0008883e-11	-8.185452e-12	-0.99999684	0	0	-0.48	730000
0	-3.7289283e-11	-7.275958e-12	-0.99999684	0	0	-0.47	730000
0	-2.910383e-11	1.0913936e-11	-0.9999968	0	0	-0.46	730000
0	-3.274181e-11	3.637979e-12	-0.99999666	0	0	-0.45000002	730000
0	-1.546141e-11	7.275958e-12	-0.99999654	0	0	-0.44000003	730000
0	-4.5474735e-11	2.5465852e-11	-0.9999965	0	0	-0.43000004	730000
0	-4.820322e-11	3.637979e-12	-0.9999965	0	0	-0.42000002	730000
0	-8.185452e-12	5.0931703e-11	-0.99999636	0	0	-0.41000003	730000
0	-1.72804e-11	0	-0.99999636	0	0	-0.40000004	730000
0	-2.4556357e-11	-1.4551915e-11	-0.99999624	0	0	-0.39	730000
0	-3.9108272e-11	-1.4551915e-11	-0.9999962	0	0	-0.38	730000
0	-3.1832315e-11	-1.0913936e-11	-0.9999962	0	0	-0.37	730000
0	-2.1827873e-11	0	-0.99999607	0	0	-0.36	730000
0	-1.36424205e-11	5.0931703e-11	-0.999996	0	0	-0.34999996	730000
0	-2.7284841e-11	-1.4551915e-11	-0.9999959	0	0	-0.33999997	730000
0	-3.5470293e-11	-1.0913936e-11	-0.9999958	0	0	-0.33	730000
0	-3.3651304e-11	-2.1827873e-11	-0.9999958	0	0	-0.31999996	730000
0	-3.9108272e-11	1.2732926e-11	-0.9999955	0	0	-0.30999997	730000
0	-1.1823431e-11	-1.6370905e-11	-0.9999955	0	0	-0.29999998	730000
0	-3.9108272e-11	6.91216e-11	-0.9999954	0	0	-0.29	730000
0	-2.4556357e-11	-3.637979e-12	-0.99999535	0	0	-0.28	730000
0	-5.7298166e-11	1.0913936e-11	-0.99999523	0	0	-0.27	730000
0	-5.3660187e-11	1.8189894e-11	-0.9999952	0	0	-0.26	730000
0	-3.5470293e-11	-2.5465852e-11	-0.999995	0	0	-0.25	730000
0	-3.9108272e-11	1.8189894e-12	-0.9999949	0	0	-0.24	730000
0	-2.2737368e-11	-5.0931703e-11	-0.99999475	0	0	-0.23	730000
0	-1.546141e-11	4.0017767e-11	-0.9999946	0	0	-0.22000001	730000
0	-3.8198777e-11	3.6379788e-11	-0.9999944	0	0	-0.21000001	730000
0	-3.3651304e-11	-1.09139364e-10	-0.9999944	0	0	-0.20000002	730000
0	-5.0931703e-11	1.4551915e-11	-0.9999942	0	0	-0.19	730000
0	-4.5474735e-11	7.275958e-12	-0.999994	0	0	-0.18	730000
0	-5.820766e-11	-3.637979e-12	-0.9999939	0	0	-0.16999999	730000
0	-1.36424205e-11	1.09139364e-10	-0.99999374	0	0	-0.15999998	730000
0	-7.185008e-11	-5.0931703e-11	-0.99999344	0	0	-0.14999999	730000
0	-1.1823431e-11	5.820766e-11	-0.99999326	0	0	-0.14	730000
0	-3.092282e-11	7.275958e-12	-0.99999297	0	0	-0.13	730000
0	-8.458301e-11	-2.910383e-11	-0.99999297	0	0	-0.12	730000
0	-4.456524e-11	6.548362e-11	-0.9999926	0	0	-0.11000001	730000
0	-4.820322e-11	7.275958e-12	-0.9999925	0	0	-0.10000001	730000
0	-9.276846e-11	-1.8189894e-11	-0.99999225	0	0	-0.09	730000
0	-8.458301e-11	0	-0.99999195	0	0	-0.07999999	730000
