# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-5.638867e-11	-5.502443e-11	-0.9999975	0	0	-0.5
0	-5.7298166e-11	-2.728484e-12	-0.9999974	0	0	-0.49
0	-6.139089e-11	-7.230483e-11	-0.9999974	0	0	-0.48
0	-7.3214323e-11	-4.9112714e-11	-0.9999972	0	0	-0.47
0	-5.7752914e-11	-6.04814e-11	-0.99999714	0	0	-0.46
0	-6.730261e-11	-7.230483e-11	-0.9999971	0	0	-0.45000002
0	-7.230483e-11	-7.8216544e-11	-0.99999696	0	0	-0.44000003
0	-5.7298166e-11	-8.594725e-11	-0.99999696	0	0	-0.43000004
0	-6.730261e-11	-1.05501385e-10	-0.9999968	0	0	-0.42000002
0	-8.458301e-11	-1.1368684e-10	-0.9999966	0	0	-0.41000003
0	-7.68523e-11	-1.0641088e-10	-0.9999965	0	0	-0.40000004
0	-1.1004886e-10	-5.684342e-11	-0.99999636	0	0	-0.39
0	-5.320544e-11	-8.913048e-11	-0.9999962	0	0	-0.38
0	-1.1004886e-10	-1.2596502e-10	-0.999996	0	0	-0.37
0	-1.02318154e-10	-9.094947e-11	-0.99999595	0	0	-0.36
0	-8.776624e-11	-7.048584e-11	-0.9999957	0	0	-0.34999996
0	-1.2278178e-10	-1.5279511e-10	-0.99999547	0	0	-0.33999997
0	-8.867573e-11	-1.1277734e-10	-0.9999953	0	0	-0.33
0	-1.6689228e-10	-7.2759576e-11	-0.9999951	0	0	-0.31999996
0	-9.231371e-11	-9.094947e-11	-0.99999475	0	0	-0.30999997
0	-1.373337e-10	-1.70985e-10	-0.99999446	0	0	-0.29999998
0	-1.891749e-10	-9.640644e-11	-0.9999942	0	0	-0.29
0	-1.15960574e-10	-1.6189006e-10	-0.9999938	0	0	-0.28
0	-1.2460077e-10	-2.3010216e-10	-0.99999344	0	0	-0.27
0	-2.1464075e-10	-2.2737368e-10	-0.9999929	0	0	-0.26
0	-3.0104275e-10	-1.891749e-10	-0.9999924	0	0	-0.25
0	-2.7921487e-10	-2.4374458e-10	-0.9999917	0	0	-0.24
0	-2.8785507e-10	-2.9467628e-10	-0.99999094	0	0	-0.23
0	-2.7830538e-10	-2.4738256e-10	-0.9999901	0	0	-0.22000001
0	-4.2018655e-10	-3.783498e-10	-0.9999889	0	0	-0.21000001
0	-4.0654413e-10	-1.70985e-10	-0.9999875	0	0	-0.20000002
0	-4.647518e-10	-7.858034e-10	-0.9999854	0	0	-0.19
0	-7.858034e-10	-6.0754246e-10	-0.9999825	0	0	-0.18
0	-1.976332e-09	-3.4197e-10	-0.9999774	0	0	-0.16999999
0	-6.5019776e-09	-3.5724952e-09	-0.99996567	0	0	-0.15999998
0	-6.6463117e-06	-2.5872432e-06	-0.9999078	0	0	-0.14999999
0	-1.1515758e-05	-4.4816625e-06	-0.99985677	0	0	-0.14
0	-1.5580725e-05	-6.063434e-06	-0.9998024	0	0	-0.13
